time,open,high,low,close,volume
2018-01-02,42.54,43.8425,42.315,43.75,404673792
2018-01-08,43.5875,44.34,43.25,44.2725,440789868
2018-01-16,44.475,45.025,43.7675,44.615,510284808
2018-01-22,44.325,44.86,42.515,42.8775,766299208
2018-01-29,42.54,42.54,40.025,40.125,1051968532
2018-02-05,39.775,40.97,37.56,39.1025,1270616256
2018-02-12,39.625,43.705,39.3775,43.1075,901347588
2018-02-20,43.0125,43.9125,42.7525,43.875,544825852
2018-02-26,44.0875,45.15375,43.1125,44.0525,808513428
2018-03-05,43.8025,45,43.5675,44.995,559410412
2018-03-12,45.0725,45.875,44.405,44.505,621669808
2018-03-19,44.33,44.3675,41.235,41.235,690682428
2018-03-26,42.0175,43.7875,41.2975,41.945,634123460
2018-04-02,41.97,43.5576,41.1175,42.095,657635252
2018-04-09,42.47,43.96,42.46125,43.6825,512308556
2018-04-16,43.757525,44.734125,41.3575,41.43,676953360
2018-04-23,41.7087,41.73,40.1575,40.58,648833724
2018-04-30,40.53255,46.0625,40.46,45.9575,1011222672
2018-05-07,46.295,47.5925,45.91625,47.1475,593067804
2018-05-14,47.2525,47.3825,46.275,46.5775,396995008
2018-05-21,47,47.4125,46.44,47.145,377579376
2018-05-29,46.9,47.565,46.535,47.56,368519700
2018-06-04,47.90875,48.55,47.4425,47.925,467078940
2018-06-11,47.8375,48.22,47.065,47.21,560748912
2018-06-18,46.97,47.305,45.8625,46.23,502417464
2018-06-25,45.85,46.82,45.1825,46.2775,486482104
2018-07-02,45.955,47.1085,45.855,46.9925,263102568
2018-07-09,47.375,47.96,46.9025,47.8325,340352704
2018-07-16,47.88,48.1625,47.3,47.86,351855232
2018-07-23,47.67,48.99,47.39,47.745,378454728
2018-07-30,47.975,52.185,47.2675,51.9975,896758788
2018-08-06,52,52.445,51.13,51.8825,486568356
2018-08-13,51.925,54.4875,51.925,54.395,557495272
2018-08-20,54.525,54.795,53.46,54.04,451300644
2018-08-27,54.2875,57.2175,54.0825,56.9075,650762580
2018-09-04,57.1025,57.4175,55.1775,55.325,530531512
2018-09-10,55.2375,57.0875,54.1175,55.96,792999632
2018-09-17,55.5375,55.7375,53.825,54.415,874984880
2018-09-24,54.205,56.61,54.1575,56.435,517372136
2018-10-01,56.9875,58.3675,55.145,56.0725,570664936
2018-10-08,55.5525,56.8175,53.08,55.5275,768030996
2018-10-15,55.29,55.7475,53.25,54.8275,594081632
2018-10-22,54.9475,56.0575,53.1675,54.075,742396936
2018-10-29,54.7975,55.59,51.3575,51.87,1082425108
2018-11-05,51.075,52.53,49.5425,51.1175,764797480
2018-11-12,49.75,49.9625,46.4825,48.3825,968905860
2018-11-19,47.5,47.675,43.025,43.0725,657977204
2018-11-26,43.56,45.7,42.565,44.645,854999908
2018-12-03,46.115,46.235,42.075,42.1225,670089300
2018-12-10,41.25,43.1425,40.8325,41.37,870147480
2018-12-17,41.3625,42.0875,37.4075,37.6825,1150776324
2018-12-24,37.0375,39.63,36.6475,39.0575,764641060
2018-12-31,39.6325,39.84,35.5,37.065,887849872
2019-01-07,37.175,38.6325,36.475,38.0725,814824280
2019-01-14,37.7125,39.47,37.305,39.205,621165596
2019-01-22,39.1025,39.5325,37.925,39.44,450055928
2019-01-28,38.9475,42.25,38.415,41.63,809187456
2019-02-04,41.8525,43.8925,41.82,42.6025,605593828
2019-02-11,42.7625,43.12,42.3125,42.605,448918968
2019-02-19,42.4275,43.33,42.3725,43.2425,325000048
2019-02-25,43.54,43.9675,43.1825,43.7425,483522164
2019-03-04,43.9225,44.4375,42.375,43.2275,467118952
2019-03-11,43.8725,46.8325,43.8375,46.53,632534248
2019-03-18,46.45,49.4225,46.1825,47.7625,729373340
2019-03-25,47.8775,48.22,46.145,47.4875,671354328
2019-04-01,47.91,49.275,47.095,49.25,446161780
2019-04-08,49.105,50.7125,49.0525,49.7175,528026792
2019-04-15,49.645,51.0375,49.5025,50.965,385342308
2019-04-22,50.7075,52.12,50.53,51.075,389981812
2019-04-29,51.1,53.8275,49.7775,52.9375,745822676
2019-05-06,51.0725,52.21,48.1925,49.295,694654536
2019-05-13,46.9275,48.117225,45.7125,47.25,745661888
2019-05-20,45.88,47,44.4525,44.7425,627880464
2019-05-28,44.73,45.1475,43.7475,43.7675,418765284
2019-06-03,43.9,47.98,42.5675,47.5375,617392644
2019-06-10,47.9525,49.1975,47.575,48.185,447372084
2019-06-17,48.225,50.2125,48.0425,49.695,526635840
2019-06-24,49.635,50.3925,48.8225,49.48,469474504
2019-07-01,50.7925,51.27,50.1625,51.0575,291518076
2019-07-08,50.2025,51.0975,49.6025,50.825,406403340
2019-07-15,51.0225,51.625,50.59,50.6475,349732616
2019-07-22,50.9125,52.4325,50.9025,51.935,348612580
2019-07-29,52.115,55.3425,50.4075,51.005,879082048
2019-08-05,49.4975,50.8825,48.145,50.2475,692845700
2019-08-12,49.905,53.035,49.7875,51.625,653064420
2019-08-19,52.655,53.60875,50.25,50.66,568267412
2019-08-26,51.465,52.6125,50.83,52.185,440365276
2019-09-03,51.6075,53.605,51.055,53.315,330342688
2019-09-09,53.71,56.605,52.7675,54.6875,701467772
2019-09-16,54.4325,55.94,54.36825,54.4325,581410688
2019-09-23,54.7375,55.6225,54.28505,54.705,471138472
2019-09-30,55.225,57.055,53.783,56.7525,653524968
2019-10-07,56.5675,59.41,56.0825,59.0525,600618348
2019-10-14,58.725,59.53355,58.3,59.1025,433562896
2019-10-21,59.38,61.6825,59.33,61.645,405078320
2019-10-28,61.855,63.9825,59.315,63.955,654221936
2019-11-04,64.3325,65.11,63.84125,65.035,424056324
